#,Question,Answer 1,Answer 2,Answer 3,Answer 4
,Section 1: S1: Web Applications and The Client-Server Model,,,,
1,"What does the ""sandbox"" in a web browser do?",Stores passwords permanently,Deletes browsing history,Limits web app access to the local system,Increases internet speed
2,Which component of MERN is a document-oriented NoSQL database?,React,Express.js,Node.js,MongoDB
3,What is the main role of React in the MERN stack?,Handling server-side logic,Building the user interface,Managing the database,Encrypting passwords
4,Node.js is built on which JavaScript engine?,Firefox's SpiderMonkey,Edge's Chakra,Chrome's V8,Safari's JavaScriptCore
5,"What does ""non-blocking I/O"" in Node.js allow?",Blocking user input,Stopping all data flow,Handling many requests efficiently,Slower server processing
6,"In the Client-Server model, which entity initiates communication?",The Router,The Database,The Client,The Server
7,What type of file is CSS?,Static,Superscript,Non-blocking,Dynamic
8,"Which JavaScript keyword is ""function scoped"" and not recommended?",arrow,var,let,const
9,"What is ""Business Logic"" also known as?",System logic,Database logic,Domain logic,UI logic
10,"According to the restaurant analogy, what represents ""Application Logic""?",The ingredients,The kitchen workflow,The food prices,The menu items
11,"Why is the Server considered a ""Single Source of Truth""?",It is the only device on the network,It stores data on the client,It never makes mistakes,"It holds centralized, shared data"
12,Which architecture involves every node acting as both client and server?,Single-tier,Monolithic,Peer-to-Peer (P2P),Microservices
13,"HTTP is a ""stateless"" protocol. What does this mean?",No data can be sent,Each request is independent,The connection is always open,The server saves every user action
14,What is the purpose of HTTPS?,Deleting user cookies,Encrypting data in transit,Making websites load faster,Reducing server costs
15,"In an HTTP request, where are the ""Method"" and ""Path"" located?",Headers,Request line,Metadata,Body
16,Which HTTP method is used to retrieve data without side effects?,POST,DELETE,PUT,GET
17,"Why is the POST method considered ""not idempotent""?",It is safer than GET,It deletes data accidentally,Multiple calls create multiple resources,It only works once
18,Which method is used to replace an entire resource with new data?,GET,PUT,PATCH,POST
19,"What is a ""Safe"" HTTP method?",One that requires a password,One that only admins use,One that doesn't modify server state,One that is encrypted
20,"What does the status code ""201 Created"" signify?",Server error,Unauthorized access,Success: new resource created,Page not found
21,"In REST design, what should URIs represent?",Actions (Verbs),CSS classes,JavaScript functions,Resources (Nouns)
22,Which URI traditionally represents a specific user with ID 42?,/api/users/42,/api/actions/42,/api/users?id=42,/api/getUser42
23,"What does ""JSON"" stand for?",Just Some Online News,Java Standard Object Name,JavaScript Object Notation,Joint System Online Network
24,"Express.js provides ""Middleware."" What is its purpose?",Replacing React,Adding functions to the request cycle,Speeding up CSS rendering,Storing browser cookies
25,"In modern JS, which keyword defines a variable that cannot be reassigned?",const,let,static,var
26,What does REST stand for?,n/a,n/a,n/a,n/a
27,"In the MERN workflow, what format is data usually sent from Server to Client?",n/a,n/a,n/a,n/a
28,Which architecture is typically used by large websites like Netflix and Uber to scale?,n/a,n/a,n/a,n/a
29,What separates HTTP headers from the body in a request?,n/a,n/a,n/a,n/a
30,Which HTTP header specifies the format of the request body?,n/a,n/a,n/a,n/a
31,"What is the ""Safe"" way to retry a request after a network failure?",n/a,n/a,n/a,n/a
32,"What does ""Separation of Concerns"" achieve in web architecture?",n/a,n/a,n/a,n/a
33,"In a React SPA, where does the application primarily run?",n/a,n/a,n/a,n/a
34,"Which status code range indicates a ""Server Error""?",n/a,n/a,n/a,n/a
35,"What does the principle ""one URL = one thing"" refer to?",n/a,n/a,n/a,n/a
36,"Which of these is a ""Sub-resource"" URI?",n/a,n/a,n/a,n/a
37,"What is the core characteristic of an ""Arrow Function"" in JS?",n/a,n/a,n/a,n/a
38,MongoDB stores data in what type of documents?,n/a,n/a,n/a,n/a
39,Which tool is used as the primary IDE in the class?,n/a,n/a,n/a,n/a
40,"What does ""SaaS"" stand for?",n/a,n/a,n/a,n/a
41,"Why are web apps ""SaaS"" friendly?",n/a,n/a,n/a,n/a
42,"Which HTTP method is used for ""Partial Updates""?",n/a,n/a,n/a,n/a
43,"In the restaurant analogy, who is the ""Client""?",n/a,n/a,n/a,n/a
44,"What is the main disadvantage of a ""Monolithic"" architecture?",n/a,n/a,n/a,n/a
45,"What is ""Idempotency""?",n/a,n/a,n/a,n/a
46,"Which layer handles ""Business Logic"" in the MERN stack?",n/a,n/a,n/a,n/a
47,"How does a server ""listen"" for requests?",n/a,n/a,n/a,n/a
48,"What is a ""Single-Page Application"" (SPA)?",n/a,n/a,n/a,n/a
49,"What does the ""Authorization"" header typically contain?",n/a,n/a,n/a,n/a
50,"What is the ""Single Source of Truth"" for application data?",n/a,n/a,n/a,n/a
,S2: UI/UX and Software Design Principles,,,,
51,Which JavaScript variable keyword is block-scoped and cannot be reassigned?,var,const,let,global
52,What is the main problem with using 'var' for variable declaration?,It is function-scoped and can lead to unusual behavior,It is too slow,It cannot be used in functions,It only works in HTML
53,Which ES6 feature allows you to extract values from arrays or properties from objects into distinct variables?,Mapping,Destructuring,Hoisting,Spreading
54,What does the Spread Operator (...) do when used on an object?,Converts the object to a string,Deletes all properties,Merges the object with a database,Copies properties from one object to another
55,"In React, what are the two main types of components?",Client and Server,Static and Dynamic,HTML and CSS,Functional and Class-based
56,Which SOLID principle states that a class should have only one reason to change?,Interface Segregation Principle,Single Responsibility Principle,Open/Closed Principle,Liskov Substitution Principle
57,"What is a ""Code Smell""?",A hint of a deeper fundamental problem in code,A slow-loading image,A virus in the software,A syntax error
58,"The ""O"" in SOLID stands for the Open/Closed Principle. What does it mean?","Open to the internet, closed to local networks","Open for editing, closed for reading","Open for extension, closed for modification","Open for all users, closed for admins"
59,Which principle ensures that child classes can stand in for their parent classes without breaking logic?,Dependency Inversion Principle,Interface Segregation Principle,Liskov Substitution Principle,Single Responsibility Principle
60,What does the Interface Segregation Principle discourage?,Small interfaces,Using any interfaces at all,"Large, ""fat"" interfaces that force unused methods",Private variables
61,"According to Dependency Inversion, modules should depend on what?",Local files,Concretions (specific classes),Abstractions (interfaces),Global variables
62,"In the MVC architecture, what does the ""Model"" represent?",The user interface,The request router,Data and business logic,The CSS styling
63,Which part of MVC is responsible for displaying data to the user?,Database,View,Controller,Model
64,"What is the primary role of the ""Controller"" in MVC?",Coordinates between the Model and View,Defines the font size,Stores the data,Handles the layout
65,"What is ""Responsive Design""?",A site with many animations,A website that loads in under 1 second,A site that only works on phones,An interface that adapts to the device's layout
66,Which device type is used to access the web the most? ,Mobile,Wearable,Other,Desktop
67,"What is the main problem with ""Fixed Layouts"" on small screens?",They require a password,They change the font colors,They make the battery drain faster,They cause horizontal scrolling and tiny text
68,Which CSS technique uses percentages instead of fixed pixels for widths?,Fluid grids,Media queries,Fixed grids,Flexbox
69,"What is the purpose of a ""Media Query"" in CSS?",To send emails,To apply styles based on device breakpoints,To query a database,To play videos
70,Which meta tag is essential for preventing automatic zoom-out on mobile devices?,Description meta tag,Title meta tag,Viewport meta tag,Keywords meta tag
71,"What is the ""Mobile-First"" approach?",Building a mobile app before a website,Only allowing mobile users,Using small images,"Designing for mobile first, then enhancing for desktop"
72,"Why is mobile-first design considered ""progressive enhancement""?",It requires more code,You start with everything and remove features,You start with constraints and add features for larger screens,It makes the site look like an app
73,What is a common breakpoint for a tablet device?,1440px,320px,1920px,768px
74,"In Responsive Design, what does ""Flexible Typography"" use?",Images of text,Only bold fonts,Relative units like em or rem,Fixed px sizes
75,"What is ""Inclusive Design""?",Making a site for one specific group,Including as many features as possible,A method to make products usable by as many people as possible,Designing only for accessibility standards
76,Which Nielsen heuristic suggests the system should always keep users informed of what's happening?,n/a,n/a,n/a,n/a
77,"Which heuristic emphasizes using ""Undo"" and ""Redo"" actions?",n/a,n/a,n/a,n/a
78,"What is the goal of the ""Aesthetic and Minimalist Design"" heuristic?",n/a,n/a,n/a,n/a
79,React was originally invented at which company?,n/a,n/a,n/a,n/a
80,"What is ""JSX""?",n/a,n/a,n/a,n/a
81,"In JSX, which attribute is used instead of the standard HTML ""class""?",n/a,n/a,n/a,n/a
82,How must all tags be handled in JSX?,n/a,n/a,n/a,n/a
83,"What is ""Vite""?",n/a,n/a,n/a,n/a
84,"What does ""HMR"" stand for in the context of Vite?",n/a,n/a,n/a,n/a
